nohup: ignoring input
训练次数：5920, Loss: 0.05898150056600571
训练次数：5930, Loss: 0.031775034964084625
训练次数：5940, Loss: 0.037215810269117355
训练次数：5950, Loss: 0.09578604251146317
训练次数：5960, Loss: 0.0730707049369812
训练次数：5970, Loss: 0.05826954171061516
训练次数：5980, Loss: 0.07116430252790451
训练次数：5990, Loss: 0.030527595430612564
训练次数：6000, Loss: 0.902226448059082
训练次数：6010, Loss: 0.09846099466085434
训练次数：6020, Loss: 0.07703466713428497
训练次数：6030, Loss: 0.13694560527801514
训练次数：6040, Loss: 0.16556501388549805
训练次数：6050, Loss: 0.0544632151722908
训练次数：6060, Loss: 0.0403331033885479
训练次数：6070, Loss: 0.10763227194547653
训练次数：6080, Loss: 0.075532466173172
训练次数：6090, Loss: 0.10441117733716965
训练次数：6100, Loss: 0.027817629277706146
训练次数：6110, Loss: 0.09118610620498657
训练次数：6120, Loss: 0.028509026393294334
训练次数：6130, Loss: 0.4295694828033447
训练次数：6140, Loss: 0.08947951346635818
训练次数：6150, Loss: 0.07972133159637451
训练次数：6160, Loss: 0.10111872851848602
训练次数：6170, Loss: 0.05604078620672226
训练次数：6180, Loss: 0.1346055269241333
训练次数：6190, Loss: 0.080466628074646
训练次数：6200, Loss: 0.09953872114419937
训练次数：6210, Loss: 0.03884715586900711
训练次数：6220, Loss: 0.10041562467813492
训练次数：6230, Loss: 0.41448700428009033
训练次数：6240, Loss: 0.042235661298036575
训练次数：6250, Loss: 0.06421530991792679
训练次数：6260, Loss: 0.09822764992713928
训练次数：6270, Loss: 0.05628931522369385
训练次数：6280, Loss: 0.06636802107095718
训练次数：6290, Loss: 0.09309222549200058
训练次数：6300, Loss: 0.04933188110589981
训练次数：6310, Loss: 0.04668687283992767
训练次数：6320, Loss: 0.1562691628932953
训练次数：6330, Loss: 4.368840217590332
训练次数：6340, Loss: 0.04963811859488487
训练次数：6350, Loss: 0.04170443117618561
训练次数：6360, Loss: 0.05769521743059158
训练次数：6370, Loss: 0.08056855946779251
训练次数：6380, Loss: 0.17858092486858368
训练次数：6390, Loss: 0.048702385276556015
